2025-11-19 14:32:54 - 8_0.4_1 - INFO - ================================================
2025-11-19 14:32:54 - 8_0.4_1 - INFO - 日志文件已创建: logs/cifar-100/dpfpl/8_0.4_1_20251119_143254.log
2025-11-19 14:32:54 - 8_0.4_1 - INFO - ================================================
2025-11-19 14:32:54 - 8_0.4_1 - INFO - 
2025-11-19 14:32:54 - 8_0.4_1 - INFO - ======================================================================
2025-11-19 14:32:54 - 8_0.4_1 - INFO - 📋 实验配置摘要
2025-11-19 14:32:54 - 8_0.4_1 - INFO - ======================================================================
2025-11-19 14:32:54 - 8_0.4_1 - INFO -   Task ID:      [39/60]
2025-11-19 14:32:54 - 8_0.4_1 - INFO -   数据集:       cifar-100
2025-11-19 14:32:54 - 8_0.4_1 - INFO -   模型方法:     dpfpl
2025-11-19 14:32:54 - 8_0.4_1 - INFO -   Rank:         8
2025-11-19 14:32:54 - 8_0.4_1 - INFO -   噪声级别:     0.4
2025-11-19 14:32:54 - 8_0.4_1 - INFO -   随机种子:     1
2025-11-19 14:32:54 - 8_0.4_1 - INFO -   客户端数量:   50
2025-11-19 14:32:54 - 8_0.4_1 - INFO -   数据划分:     noniid-labeldir
2025-11-19 14:32:54 - 8_0.4_1 - INFO -   训练轮次:     30
2025-11-19 14:32:54 - 8_0.4_1 - INFO - ======================================================================
2025-11-19 14:32:54 - 8_0.4_1 - INFO - 
2025-11-19 14:32:54 - 8_0.4_1 - INFO - Loading trainer: DP_FPL
2025-11-19 14:32:54 - 8_0.4_1 - INFO - Loading dataset: Cifar100
2025-11-19 14:32:56 - 8_0.4_1 - INFO - Loading CLIP (backbone: ViT-B/16)
2025-11-19 14:32:58 - 8_0.4_1 - INFO - Building custom CLIP
2025-11-19 14:32:58 - 8_0.4_1 - INFO - Turning off gradients in both the image and the text encoder
2025-11-19 14:33:42 - 8_0.4_1 - INFO - [Epoch 1/30] 训练耗时: 44.08s | 平均训练准确率: 34.09
2025-11-19 14:34:24 - 8_0.4_1 - INFO - [Epoch 2/30] 训练耗时: 41.76s | 平均训练准确率: 55.33
2025-11-19 14:35:06 - 8_0.4_1 - INFO - [Epoch 3/30] 训练耗时: 42.09s | 平均训练准确率: 59.38
2025-11-19 14:35:48 - 8_0.4_1 - INFO - [Epoch 4/30] 训练耗时: 42.20s | 平均训练准确率: 60.66
2025-11-19 14:36:31 - 8_0.4_1 - INFO - [Epoch 5/30] 训练耗时: 42.66s | 平均训练准确率: 61.30
2025-11-19 14:37:13 - 8_0.4_1 - INFO - [Epoch 6/30] 训练耗时: 42.06s | 平均训练准确率: 61.34
2025-11-19 14:37:55 - 8_0.4_1 - INFO - [Epoch 7/30] 训练耗时: 42.05s | 平均训练准确率: 61.20
2025-11-19 14:38:37 - 8_0.4_1 - INFO - [Epoch 8/30] 训练耗时: 42.02s | 平均训练准确率: 62.59
2025-11-19 14:39:20 - 8_0.4_1 - INFO - [Epoch 9/30] 训练耗时: 42.53s | 平均训练准确率: 63.33
2025-11-19 14:40:01 - 8_0.4_1 - INFO - [Epoch 10/30] 训练耗时: 41.83s | 平均训练准确率: 62.55
2025-11-19 14:40:44 - 8_0.4_1 - INFO - [Epoch 11/30] 训练耗时: 42.83s | 平均训练准确率: 62.47
2025-11-19 14:41:27 - 8_0.4_1 - INFO - [Epoch 12/30] 训练耗时: 42.29s | 平均训练准确率: 62.23
2025-11-19 14:42:09 - 8_0.4_1 - INFO - [Epoch 13/30] 训练耗时: 42.46s | 平均训练准确率: 62.42
2025-11-19 14:42:52 - 8_0.4_1 - INFO - [Epoch 14/30] 训练耗时: 42.85s | 平均训练准确率: 62.88
2025-11-19 14:43:35 - 8_0.4_1 - INFO - [Epoch 15/30] 训练耗时: 42.97s | 平均训练准确率: 62.70
2025-11-19 14:44:17 - 8_0.4_1 - INFO - [Epoch 16/30] 训练耗时: 42.53s | 平均训练准确率: 62.30
2025-11-19 14:45:00 - 8_0.4_1 - INFO - [Epoch 17/30] 训练耗时: 42.67s | 平均训练准确率: 63.67
2025-11-19 14:45:43 - 8_0.4_1 - INFO - [Epoch 18/30] 训练耗时: 42.82s | 平均训练准确率: 63.05
2025-11-19 14:46:25 - 8_0.4_1 - INFO - [Epoch 19/30] 训练耗时: 42.48s | 平均训练准确率: 62.83
2025-11-19 14:47:07 - 8_0.4_1 - INFO - [Epoch 20/30] 训练耗时: 41.59s | 平均训练准确率: 62.75
2025-11-19 14:47:50 - 8_0.4_1 - INFO - [Epoch 21/30] 训练耗时: 43.31s | 平均训练准确率: 62.88
2025-11-19 14:48:33 - 8_0.4_1 - INFO - [Epoch 22/30] 训练耗时: 43.15s | 平均训练准确率: 62.55
2025-11-19 14:49:17 - 8_0.4_1 - INFO - [Epoch 23/30] 训练耗时: 43.06s | 平均训练准确率: 62.55
2025-11-19 14:49:59 - 8_0.4_1 - INFO - [Epoch 24/30] 训练耗时: 42.63s | 平均训练准确率: 62.98
2025-11-19 14:50:42 - 8_0.4_1 - INFO - [Epoch 25/30] 训练耗时: 42.77s | 平均训练准确率: 62.88
2025-11-19 14:51:24 - 8_0.4_1 - INFO - [Epoch 26/30] 训练耗时: 42.30s | 平均训练准确率: 63.14
2025-11-19 14:52:07 - 8_0.4_1 - INFO - [Epoch 27/30] 训练耗时: 42.64s | 平均训练准确率: 62.86
2025-11-19 14:52:49 - 8_0.4_1 - INFO - [Epoch 28/30] 训练耗时: 42.58s | 平均训练准确率: 62.72
2025-11-19 14:52:49 - 8_0.4_1 - INFO - 
2025-11-19 14:52:49 - 8_0.4_1 - INFO - ================================================================================
2025-11-19 14:52:49 - 8_0.4_1 - INFO -                     TEST START - Epoch 28/30
2025-11-19 14:52:49 - 8_0.4_1 - INFO - ================================================================================
2025-11-19 14:52:49 - 8_0.4_1 - INFO - 
2025-11-19 14:58:47 - 8_0.4_1 - INFO - 
================= Local Test Results ==================
+-----------+----------+------------+----------+
| Client    | Accuracy | Error Rate | Macro F1 |
+-----------+----------+------------+----------+
| Client 0  |    70.00 |      30.00 |    66.67 |
| Client 1  |    84.21 |      15.79 |    80.00 |
| Client 2  |    62.16 |      37.84 |    69.55 |
| Client 3  |    73.53 |      26.47 |    68.22 |
| Client 4  |    60.00 |      40.00 |    52.53 |
| Client 5  |    67.50 |      32.50 |    68.63 |
| Client 6  |    70.00 |      30.00 |    61.27 |
| Client 7  |    61.90 |      38.10 |    58.68 |
| Client 8  |    63.64 |      36.36 |    53.82 |
| Client 9  |    69.44 |      30.56 |    68.70 |
| Client 10 |    69.57 |      30.43 |    67.78 |
| Client 11 |    70.00 |      30.00 |    68.80 |
| Client 12 |    61.70 |      38.30 |    62.65 |
| Client 13 |    68.57 |      31.43 |    60.97 |
| Client 14 |    68.00 |      32.00 |    69.83 |
| Client 15 |    60.00 |      40.00 |    55.07 |
| Client 16 |    53.66 |      46.34 |    46.62 |
| Client 17 |    59.09 |      40.91 |    65.77 |
| Client 18 |    60.98 |      39.02 |    61.18 |
| Client 19 |    52.27 |      47.73 |    55.28 |
| Client 20 |    66.67 |      33.33 |    65.02 |
| Client 21 |    71.79 |      28.21 |    67.90 |
| Client 22 |    69.77 |      30.23 |    63.30 |
| Client 23 |    61.54 |      38.46 |    52.10 |
| Client 24 |    64.44 |      35.56 |    63.65 |
| Client 25 |    61.11 |      38.89 |    53.39 |
| Client 26 |    61.22 |      38.78 |    63.00 |
| Client 27 |    60.47 |      39.53 |    53.65 |
| Client 28 |    61.11 |      38.89 |    65.75 |
| Client 29 |    58.54 |      41.46 |    56.55 |
| Client 30 |    78.57 |      21.43 |    78.93 |
| Client 31 |    74.42 |      25.58 |    71.41 |
| Client 32 |    66.67 |      33.33 |    68.67 |
| Client 33 |    60.98 |      39.02 |    61.54 |
| Client 34 |    56.41 |      43.59 |    55.09 |
| Client 35 |    60.47 |      39.53 |    59.49 |
| Client 36 |    57.89 |      42.11 |    66.64 |
| Client 37 |    60.00 |      40.00 |    64.29 |
| Client 38 |    71.74 |      28.26 |    67.47 |
| Client 39 |    50.00 |      50.00 |    53.10 |
| Client 40 |    71.05 |      28.95 |    67.43 |
| Client 41 |    47.62 |      52.38 |    44.37 |
| Client 42 |    69.57 |      30.43 |    73.17 |
| Client 43 |    75.00 |      25.00 |    73.61 |
| Client 44 |    64.29 |      35.71 |    61.67 |
| Client 45 |    51.61 |      48.39 |    55.65 |
| Client 46 |    68.57 |      31.43 |    61.63 |
| Client 47 |    74.19 |      25.81 |    74.51 |
| Client 48 |    58.33 |      41.67 |    51.67 |
| Client 49 |    65.98 |      34.02 |    63.36 |
| Average   |    64.52 |      35.48 |    62.80 |
+-----------+----------+------------+----------+

2025-11-19 14:58:47 - 8_0.4_1 - INFO - 
================= Neighbor Test Results ==================
+-----------+----------+------------+----------+
| Client    | Accuracy | Error Rate | Macro F1 |
+-----------+----------+------------+----------+
| Client 0  |    64.29 |      35.71 |    63.21 |
| Client 1  |    64.16 |      35.84 |    63.12 |
| Client 2  |    64.39 |      35.61 |    63.26 |
| Client 3  |    64.19 |      35.81 |    63.11 |
| Client 4  |    64.48 |      35.52 |    63.40 |
| Client 5  |    64.34 |      35.66 |    63.27 |
| Client 6  |    64.29 |      35.71 |    63.32 |
| Client 7  |    64.45 |      35.55 |    63.43 |
| Client 8  |    64.42 |      35.58 |    63.28 |
| Client 9  |    64.31 |      35.69 |    63.24 |
| Client 10 |    64.28 |      35.72 |    63.29 |
| Client 11 |    64.29 |      35.71 |    63.37 |
| Client 12 |    64.46 |      35.54 |    63.32 |
| Client 13 |    64.33 |      35.67 |    63.29 |
| Client 14 |    64.35 |      35.65 |    63.40 |
| Client 15 |    64.49 |      35.51 |    63.47 |
| Client 16 |    64.62 |      35.38 |    63.52 |
| Client 17 |    64.52 |      35.48 |    63.50 |
| Client 18 |    64.47 |      35.53 |    63.46 |
| Client 19 |    64.67 |      35.33 |    63.52 |
| Client 20 |    64.35 |      35.65 |    63.34 |
| Client 21 |    64.25 |      35.75 |    63.18 |
| Client 22 |    64.28 |      35.72 |    63.26 |
| Client 23 |    64.41 |      35.59 |    63.36 |
| Client 24 |    64.35 |      35.65 |    63.33 |
| Client 25 |    64.41 |      35.59 |    63.44 |
| Client 26 |    64.43 |      35.57 |    63.25 |
| Client 27 |    64.44 |      35.56 |    63.45 |
| Client 28 |    64.41 |      35.59 |    63.30 |
| Client 29 |    64.47 |      35.53 |    63.44 |
| Client 30 |    64.04 |      35.96 |    62.97 |
| Client 31 |    64.13 |      35.87 |    63.11 |
| Client 32 |    64.26 |      35.74 |    63.26 |
| Client 33 |    64.37 |      35.63 |    63.21 |
| Client 34 |    64.46 |      35.54 |    63.34 |
| Client 35 |    64.38 |      35.62 |    63.34 |
| Client 36 |    64.37 |      35.63 |    63.18 |
| Client 37 |    64.33 |      35.67 |    63.27 |
| Client 38 |    64.07 |      35.93 |    63.01 |
| Client 39 |    64.54 |      35.46 |    63.42 |
| Client 40 |    64.17 |      35.83 |    63.18 |
| Client 41 |    64.66 |      35.34 |    63.44 |
| Client 42 |    64.18 |      35.82 |    63.09 |
| Client 43 |    64.10 |      35.90 |    63.18 |
| Client 44 |    64.30 |      35.70 |    63.21 |
| Client 45 |    64.50 |      35.50 |    63.36 |
| Client 46 |    64.22 |      35.78 |    63.11 |
| Client 47 |    64.14 |      35.86 |    63.04 |
| Client 48 |    64.41 |      35.59 |    63.32 |
| Client 49 |    64.27 |      35.73 |    63.18 |
| Average   |    64.35 |      35.65 |    63.29 |
+-----------+----------+------------+----------+

2025-11-19 14:58:47 - 8_0.4_1 - INFO - 
2025-11-19 14:58:47 - 8_0.4_1 - INFO - ================================================================================
2025-11-19 14:58:47 - 8_0.4_1 - INFO -                     TEST FINISH - Epoch 28/30
2025-11-19 14:58:47 - 8_0.4_1 - INFO -                     测试耗时: 357.38s
2025-11-19 14:58:47 - 8_0.4_1 - INFO - ================================================================================
2025-11-19 14:58:47 - 8_0.4_1 - INFO - 
2025-11-19 14:59:29 - 8_0.4_1 - INFO - [Epoch 29/30] 训练耗时: 41.99s | 平均训练准确率: 62.50
2025-11-19 14:59:29 - 8_0.4_1 - INFO - 
2025-11-19 14:59:29 - 8_0.4_1 - INFO - ================================================================================
2025-11-19 14:59:29 - 8_0.4_1 - INFO -                     TEST START - Epoch 29/30
2025-11-19 14:59:29 - 8_0.4_1 - INFO - ================================================================================
2025-11-19 14:59:29 - 8_0.4_1 - INFO - 
2025-11-19 15:05:26 - 8_0.4_1 - INFO - 
================= Local Test Results ==================
+-----------+----------+------------+----------+
| Client    | Accuracy | Error Rate | Macro F1 |
+-----------+----------+------------+----------+
| Client 0  |    70.00 |      30.00 |    66.67 |
| Client 1  |    78.95 |      21.05 |    73.33 |
| Client 2  |    59.46 |      40.54 |    67.27 |
| Client 3  |    70.59 |      29.41 |    64.89 |
| Client 4  |    62.86 |      37.14 |    59.35 |
| Client 5  |    70.00 |      30.00 |    71.57 |
| Client 6  |    70.00 |      30.00 |    61.27 |
| Client 7  |    61.90 |      38.10 |    58.68 |
| Client 8  |    63.64 |      36.36 |    53.97 |
| Client 9  |    69.44 |      30.56 |    68.70 |
| Client 10 |    69.57 |      30.43 |    65.59 |
| Client 11 |    72.50 |      27.50 |    70.09 |
| Client 12 |    61.70 |      38.30 |    62.62 |
| Client 13 |    68.57 |      31.43 |    60.97 |
| Client 14 |    60.00 |      40.00 |    63.17 |
| Client 15 |    52.50 |      47.50 |    46.04 |
| Client 16 |    58.54 |      41.46 |    51.98 |
| Client 17 |    61.36 |      38.64 |    71.67 |
| Client 18 |    60.98 |      39.02 |    60.65 |
| Client 19 |    54.55 |      45.45 |    57.37 |
| Client 20 |    66.67 |      33.33 |    65.02 |
| Client 21 |    71.79 |      28.21 |    67.90 |
| Client 22 |    69.77 |      30.23 |    62.19 |
| Client 23 |    61.54 |      38.46 |    55.33 |
| Client 24 |    64.44 |      35.56 |    64.13 |
| Client 25 |    61.11 |      38.89 |    52.86 |
| Client 26 |    59.18 |      40.82 |    60.67 |
| Client 27 |    60.47 |      39.53 |    54.41 |
| Client 28 |    63.89 |      36.11 |    68.25 |
| Client 29 |    58.54 |      41.46 |    56.55 |
| Client 30 |    83.33 |      16.67 |    84.88 |
| Client 31 |    74.42 |      25.58 |    71.41 |
| Client 32 |    63.89 |      36.11 |    67.33 |
| Client 33 |    58.54 |      41.46 |    60.26 |
| Client 34 |    56.41 |      43.59 |    55.09 |
| Client 35 |    60.47 |      39.53 |    59.49 |
| Client 36 |    60.53 |      39.47 |    69.64 |
| Client 37 |    57.14 |      42.86 |    59.52 |
| Client 38 |    69.57 |      30.43 |    66.36 |
| Client 39 |    50.00 |      50.00 |    53.42 |
| Client 40 |    68.42 |      31.58 |    66.69 |
| Client 41 |    47.62 |      52.38 |    44.22 |
| Client 42 |    71.74 |      28.26 |    73.33 |
| Client 43 |    80.56 |      19.44 |    79.72 |
| Client 44 |    61.90 |      38.10 |    58.33 |
| Client 45 |    51.61 |      48.39 |    57.10 |
| Client 46 |    71.43 |      28.57 |    66.76 |
| Client 47 |    74.19 |      25.81 |    74.51 |
| Client 48 |    58.33 |      41.67 |    51.67 |
| Client 49 |    65.98 |      34.02 |    62.95 |
| Average   |    64.41 |      35.59 |    62.92 |
+-----------+----------+------------+----------+

2025-11-19 15:05:26 - 8_0.4_1 - INFO - 
================= Neighbor Test Results ==================
+-----------+----------+------------+----------+
| Client    | Accuracy | Error Rate | Macro F1 |
+-----------+----------+------------+----------+
| Client 0  |    64.14 |      35.86 |    63.20 |
| Client 1  |    64.06 |      35.94 |    63.18 |
| Client 2  |    64.29 |      35.71 |    63.32 |
| Client 3  |    64.09 |      35.91 |    63.17 |
| Client 4  |    64.22 |      35.78 |    63.35 |
| Client 5  |    64.08 |      35.92 |    63.12 |
| Client 6  |    64.08 |      35.92 |    63.25 |
| Client 7  |    64.25 |      35.75 |    63.34 |
| Client 8  |    64.21 |      35.79 |    63.17 |
| Client 9  |    64.10 |      35.90 |    63.16 |
| Client 10 |    64.07 |      35.93 |    63.17 |
| Client 11 |    64.03 |      35.97 |    63.21 |
| Client 12 |    64.26 |      35.74 |    63.19 |
| Client 13 |    64.12 |      35.88 |    63.18 |
| Client 14 |    64.25 |      35.75 |    63.39 |
| Client 15 |    64.44 |      35.56 |    63.51 |
| Client 16 |    64.32 |      35.68 |    63.30 |
| Client 17 |    64.26 |      35.74 |    63.36 |
| Client 18 |    64.27 |      35.73 |    63.33 |
| Client 19 |    64.42 |      35.58 |    63.36 |
| Client 20 |    64.15 |      35.85 |    63.27 |
