2025-11-21 05:18:12 | INFO | oxford_pets_sepfpl_hcse_8_0.4_10_[69/120] | Loading trainer: DP_FPL
2025-11-21 05:18:12 | INFO | oxford_pets_sepfpl_hcse_8_0.4_10_[69/120] | Loading dataset: OxfordPets
2025-11-21 05:18:12 | INFO | oxford_pets_sepfpl_hcse_8_0.4_10_[69/120] | Reading split from %s
2025-11-21 05:18:12 | INFO | oxford_pets_sepfpl_hcse_8_0.4_10_[69/120] | Creating a baseline federated dataset
2025-11-21 05:18:12 | INFO | oxford_pets_sepfpl_hcse_8_0.4_10_[69/120] | class_num %d
2025-11-21 05:18:12 | INFO | oxford_pets_sepfpl_hcse_8_0.4_10_[69/120] | user class dict total %s
2025-11-21 05:18:12 | INFO | oxford_pets_sepfpl_hcse_8_0.4_10_[69/120] | idx: %s, output_dict_len: %d
2025-11-21 05:18:12 | INFO | oxford_pets_sepfpl_hcse_8_0.4_10_[69/120] | user class dict total %s
2025-11-21 05:18:12 | INFO | oxford_pets_sepfpl_hcse_8_0.4_10_[69/120] | idx: %s, output_dict_len: %d
2025-11-21 05:18:12 | INFO | oxford_pets_sepfpl_hcse_8_0.4_10_[69/120] | user class dict total %s
2025-11-21 05:18:12 | INFO | oxford_pets_sepfpl_hcse_8_0.4_10_[69/120] | idx: %s, output_dict_len: %d
2025-11-21 05:18:12 | INFO | oxford_pets_sepfpl_hcse_8_0.4_10_[69/120] | user class dict total %s
2025-11-21 05:18:12 | INFO | oxford_pets_sepfpl_hcse_8_0.4_10_[69/120] | idx: %s, output_dict_len: %d
2025-11-21 05:18:12 | INFO | oxford_pets_sepfpl_hcse_8_0.4_10_[69/120] | user class dict total %s
2025-11-21 05:18:12 | INFO | oxford_pets_sepfpl_hcse_8_0.4_10_[69/120] | idx: %s, output_dict_len: %d
2025-11-21 05:18:12 | INFO | oxford_pets_sepfpl_hcse_8_0.4_10_[69/120] | user class dict total %s
2025-11-21 05:18:12 | INFO | oxford_pets_sepfpl_hcse_8_0.4_10_[69/120] | idx: %s, output_dict_len: %d
2025-11-21 05:18:12 | INFO | oxford_pets_sepfpl_hcse_8_0.4_10_[69/120] | user class dict total %s
2025-11-21 05:18:12 | INFO | oxford_pets_sepfpl_hcse_8_0.4_10_[69/120] | idx: %s, output_dict_len: %d
2025-11-21 05:18:12 | INFO | oxford_pets_sepfpl_hcse_8_0.4_10_[69/120] | user class dict total %s
2025-11-21 05:18:12 | INFO | oxford_pets_sepfpl_hcse_8_0.4_10_[69/120] | idx: %s, output_dict_len: %d
2025-11-21 05:18:12 | INFO | oxford_pets_sepfpl_hcse_8_0.4_10_[69/120] | user class dict total %s
2025-11-21 05:18:12 | INFO | oxford_pets_sepfpl_hcse_8_0.4_10_[69/120] | idx: %s, output_dict_len: %d
2025-11-21 05:18:12 | INFO | oxford_pets_sepfpl_hcse_8_0.4_10_[69/120] | user class dict total %s
2025-11-21 05:18:12 | INFO | oxford_pets_sepfpl_hcse_8_0.4_10_[69/120] | idx: %s, output_dict_len: %d
2025-11-21 05:18:12 | INFO | oxford_pets_sepfpl_hcse_8_0.4_10_[69/120] | Creating a baseline federated dataset
2025-11-21 05:18:12 | INFO | oxford_pets_sepfpl_hcse_8_0.4_10_[69/120] | class_num %d
2025-11-21 05:18:12 | INFO | oxford_pets_sepfpl_hcse_8_0.4_10_[69/120] | user class dict total %s
2025-11-21 05:18:12 | INFO | oxford_pets_sepfpl_hcse_8_0.4_10_[69/120] | idx: %s, output_dict_len: %d
2025-11-21 05:18:12 | INFO | oxford_pets_sepfpl_hcse_8_0.4_10_[69/120] | user class dict total %s
2025-11-21 05:18:12 | INFO | oxford_pets_sepfpl_hcse_8_0.4_10_[69/120] | idx: %s, output_dict_len: %d
2025-11-21 05:18:12 | INFO | oxford_pets_sepfpl_hcse_8_0.4_10_[69/120] | user class dict total %s
2025-11-21 05:18:12 | INFO | oxford_pets_sepfpl_hcse_8_0.4_10_[69/120] | idx: %s, output_dict_len: %d
2025-11-21 05:18:12 | INFO | oxford_pets_sepfpl_hcse_8_0.4_10_[69/120] | user class dict total %s
2025-11-21 05:18:12 | INFO | oxford_pets_sepfpl_hcse_8_0.4_10_[69/120] | idx: %s, output_dict_len: %d
2025-11-21 05:18:12 | INFO | oxford_pets_sepfpl_hcse_8_0.4_10_[69/120] | user class dict total %s
2025-11-21 05:18:12 | INFO | oxford_pets_sepfpl_hcse_8_0.4_10_[69/120] | idx: %s, output_dict_len: %d
2025-11-21 05:18:12 | INFO | oxford_pets_sepfpl_hcse_8_0.4_10_[69/120] | user class dict total %s
2025-11-21 05:18:12 | INFO | oxford_pets_sepfpl_hcse_8_0.4_10_[69/120] | idx: %s, output_dict_len: %d
2025-11-21 05:18:12 | INFO | oxford_pets_sepfpl_hcse_8_0.4_10_[69/120] | user class dict total %s
2025-11-21 05:18:12 | INFO | oxford_pets_sepfpl_hcse_8_0.4_10_[69/120] | idx: %s, output_dict_len: %d
2025-11-21 05:18:12 | INFO | oxford_pets_sepfpl_hcse_8_0.4_10_[69/120] | user class dict total %s
2025-11-21 05:18:12 | INFO | oxford_pets_sepfpl_hcse_8_0.4_10_[69/120] | idx: %s, output_dict_len: %d
2025-11-21 05:18:12 | INFO | oxford_pets_sepfpl_hcse_8_0.4_10_[69/120] | user class dict total %s
2025-11-21 05:18:12 | INFO | oxford_pets_sepfpl_hcse_8_0.4_10_[69/120] | idx: %s, output_dict_len: %d
2025-11-21 05:18:12 | INFO | oxford_pets_sepfpl_hcse_8_0.4_10_[69/120] | user class dict total %s
2025-11-21 05:18:12 | INFO | oxford_pets_sepfpl_hcse_8_0.4_10_[69/120] | idx: %s, output_dict_len: %d
2025-11-21 05:18:12 | INFO | oxford_pets_sepfpl_hcse_8_0.4_10_[69/120] | Loading CLIP (backbone: ViT-B/16)
2025-11-21 05:18:14 | INFO | oxford_pets_sepfpl_hcse_8_0.4_10_[69/120] | Building custom CLIP
2025-11-21 05:18:14 | INFO | oxford_pets_sepfpl_hcse_8_0.4_10_[69/120] | Turning off gradients in both the image and the text encoder
2025-11-21 05:18:14 | INFO | oxford_pets_sepfpl_hcse_8_0.4_10_[69/120] | [wandb] 正在初始化实验：project=SepFPL, name=oxford_pets-sepfpl_hcse-rank8-noise0.4-seed1-users10-69/120, mode=online
